term,categories,variant_names,talmud_corpus_count,wikipedia_en,wikipedia_he,selected_anchor_text,hebrew_term,chavrutai_search_url,wiki_match_source,wikidata_id,father,student_of,affiliation,student,date_of_birth,place_of_birth,date_of_death,place_of_death
A certain magus,names,,2,,,,,https://chavrutai.com/search?q=A+certain+magus&type=talmud,,,,,,,,,,
a certain maiden,names,,1,,,,,https://chavrutai.com/search?q=a+certain+maiden&type=talmud,,,,,,,,,,
a certain maidservant,names,,3,,,,,https://chavrutai.com/search?q=a+certain+maidservant&type=talmud,,,,,,,,,,
a certain man,names,,191,,,,,https://chavrutai.com/search?q=a+certain+man&type=talmud,,,,,,,,,,
A certain matron,names,,6,,,,,https://chavrutai.com/search?q=A+certain+matron&type=talmud,,,,,,,,,,
A certain noblewoman,names,,3,,,,,https://chavrutai.com/search?q=A+certain+noblewoman&type=talmud,,,,,,,,,,
a certain of Meron,names,,1,,,,,https://chavrutai.com/search?q=a+certain+of+Meron&type=talmud,,,,,,,,,,
a certain official,names,,1,,,,,https://chavrutai.com/search?q=a+certain+official&type=talmud,,,,,,,,,,
a certain old man,names,,5,,,,,https://chavrutai.com/search?q=a+certain+old+man&type=talmud,,,,,,,,,,
a certain old woman,names,,4,,,,,https://chavrutai.com/search?q=a+certain+old+woman&type=talmud,,,,,,,,,,
a certain one of the Sages,names,,3,,,,,https://chavrutai.com/search?q=a+certain+one+of+the+Sages&type=talmud,,,,,,,,,,
a certain orphan,names,,2,,,,,https://chavrutai.com/search?q=a+certain+orphan&type=talmud,,,,,,,,,,
a certain Persian priest,names,,1,,,,,https://chavrutai.com/search?q=a+certain+Persian+priest&type=talmud,,,,,,,,,,
a certain person,names,,21,,,,,https://chavrutai.com/search?q=a+certain+person&type=talmud,,,,,,,,,,
A certain philosopher,names,,1,,,,,https://chavrutai.com/search?q=A+certain+philosopher&type=talmud,,,,,,,,,,
a certain pious,names,,4,,,,,https://chavrutai.com/search?q=a+certain+pious&type=talmud,,,,,,,,,,
a certain pious man,names,,2,,,,,https://chavrutai.com/search?q=a+certain+pious+man&type=talmud,,,,,,,,,,
a certain place,talmudToponyms,,16,,,,,https://chavrutai.com/search?q=a+certain+place&type=talmud,,,,,,,,,,
a certain poor person,names,,1,,,,,https://chavrutai.com/search?q=a+certain+poor+person&type=talmud,,,,,,,,,,
A certain pregnant woman,names,,1,,,,,https://chavrutai.com/search?q=A+certain+pregnant+woman&type=talmud,,,,,,,,,,
a certain priest,names,,2,,,,,https://chavrutai.com/search?q=a+certain+priest&type=talmud,,,,,,,,,,
a certain priest’s daughter,names,,1,,,,,https://chavrutai.com/search?q=a+certain+priest%E2%80%99s+daughter&type=talmud,,,,,,,,,,
a certain prostitute,names,,0,,,,,https://chavrutai.com/search?q=a+certain+prostitute&type=talmud,,,,,,,,,,
A certain Roman,names,,3,,,,,https://chavrutai.com/search?q=A+certain+Roman&type=talmud,,,,,,,,,,
A certain Roman officer,names,,1,,,,,https://chavrutai.com/search?q=A+certain+Roman+officer&type=talmud,,,,,,,,,,
a certain Sadducee,names,,6,,,,,https://chavrutai.com/search?q=a+certain+Sadducee&type=talmud,,,,,,,,,,
A certain Sage,names,,2,,,,,https://chavrutai.com/search?q=A+certain+Sage&type=talmud,,,,,,,,,,
a certain student,names,,13,,,,,https://chavrutai.com/search?q=a+certain+student&type=talmud,,,,,,,,,,
a certain tanner,names,,1,,,,,https://chavrutai.com/search?q=a+certain+tanner&type=talmud,,,,,,,,,,
a certain teacher of children,names,,3,,,,,https://chavrutai.com/search?q=a+certain+teacher+of+children&type=talmud,,,,,,,,,,
a certain widow,names,,2,,,,,https://chavrutai.com/search?q=a+certain+widow&type=talmud,,,,,,,,,,
a certain woman,names,,57,,,,,https://chavrutai.com/search?q=a+certain+woman&type=talmud,,,,,,,,,,
a certain young woman,names,,1,,,,,https://chavrutai.com/search?q=a+certain+young+woman&type=talmud,,,,,,,,,,
"a deaf-mute, an imbecile, and a minor",concepts,,32,,,,,https://chavrutai.com/search?q=a+deaf-mute%2C+an+imbecile%2C+and+a+minor&type=talmud,,,,,,,,,,
A Galilean,names,,1,,,,,https://chavrutai.com/search?q=A+Galilean&type=talmud,,,,,,,,,,
a king and queen,names,,3,,,,,https://chavrutai.com/search?q=a+king+and+queen&type=talmud,,,,,,,,,,
a leading authority of generation,names,,1,,,,,https://chavrutai.com/search?q=a+leading+authority+of+generation&type=talmud,,,,,,,,,,
a maidservant of Rabbi,names,,1,,,,,https://chavrutai.com/search?q=a+maidservant+of+Rabbi&type=talmud,,,,,,,,,,
a maidservant of the household of Rabbi,names,,1,,,,,https://chavrutai.com/search?q=a+maidservant+of+the+household+of+Rabbi&type=talmud,,,,,,,,,,
a menstruating woman,concepts,,261,https://en.wikipedia.org/wiki/Niddah,https://he.wikipedia.org/wiki/%D7%A0%D7%99%D7%93%D7%94,Niddah,נידה,https://chavrutai.com/search?q=a+menstruating+woman&type=talmud,manual_concepts_top_missing_he,Q1466089,,,,,,,,
a passerby from the Galilee,names,,1,,,,,https://chavrutai.com/search?q=a+passerby+from+the+Galilee&type=talmud,,,,,,,,,,
a pious man,names,,3,,,,,https://chavrutai.com/search?q=a+pious+man&type=talmud,,,,,,,,,,
a poor person of noble descent,names,,3,,,,,https://chavrutai.com/search?q=a+poor+person+of+noble+descent&type=talmud,,,,,,,,,,
a resident of Meḥoza,names,,1,,,,,https://chavrutai.com/search?q=a+resident+of+Me%E1%B8%A5oza&type=talmud,,,,,,,,,,
A resident of Naresh,names,,1,,,,,https://chavrutai.com/search?q=A+resident+of+Naresh&type=talmud,,,,,,,,,,
a resident of Pappunya,names,,1,,,,,https://chavrutai.com/search?q=a+resident+of+Pappunya&type=talmud,,,,,,,,,,
a Samaritan woman,names,,5,,,,,https://chavrutai.com/search?q=a+Samaritan+woman&type=talmud,,,,,,,,,,
a son of a Levite,names,,1,,,,,https://chavrutai.com/search?q=a+son+of+a+Levite&type=talmud,,,,,,,,,,
a young girl,names,,24,,,,,https://chavrutai.com/search?q=a+young+girl&type=talmud,,,,,,,,,,
a youth,names,,6,,,,,https://chavrutai.com/search?q=a+youth&type=talmud,,,,,,,,,,
Aaron,biblicalNames,Aaron and his sons; Aaron the priest,178,https://en.wikipedia.org/wiki/Aaron,https://he.wikipedia.org/wiki/%D7%90%D7%94%D7%A8%D7%9F,Aaron,אהרן,https://chavrutai.com/search?q=Aaron&type=talmud,biblical_names_api_review:verified_exact_or_redirect,Q51676,Amram,,,,-1396; -1529,Ancient Egypt,-1274; -1406,Mount Haroun
Abaye,names,,2592,https://en.wikipedia.org/wiki/Abaye,https://he.wikipedia.org/wiki/%D7%90%D7%91%D7%99%D7%99,Abaye,אביי,https://chavrutai.com/search?q=Abaye&type=talmud,blog,Q304924,,,Pumbedita Academy,,201; 278,,339,
Abaye bar Abba,names,,1,,,,,https://chavrutai.com/search?q=Abaye+bar+Abba&type=talmud,,,,,,,,,,
Abaye bar Avin,names,,9,,,,,https://chavrutai.com/search?q=Abaye+bar+Avin&type=talmud,,,,,,,,,,
Abaye bar Huna,names,,1,,,,,https://chavrutai.com/search?q=Abaye+bar+Huna&type=talmud,,,,,,,,,,
Abaye bar Ravin,names,,1,,,,,https://chavrutai.com/search?q=Abaye+bar+Ravin&type=talmud,,,,,,,,,,
Abaye the Elder,names,,11,,,,,https://chavrutai.com/search?q=Abaye+the+Elder&type=talmud,,,,,,,,,,
"Abaye, son of Rabbi Abbahu",names,,1,,,,,https://chavrutai.com/search?q=Abaye%2C+son+of+Rabbi+Abbahu&type=talmud,,,,,,,,,,
Abaye’s mother,names,,2,,,,,https://chavrutai.com/search?q=Abaye%E2%80%99s+mother&type=talmud,,,,,,,,,,
Abaye’s tenant farmer,names,,1,,,,,https://chavrutai.com/search?q=Abaye%E2%80%99s+tenant+farmer&type=talmud,,,,,,,,,,
"Abaye’s wife, Ḥoma",names,,1,,,,,https://chavrutai.com/search?q=Abaye%E2%80%99s+wife%2C+%E1%B8%A4oma&type=talmud,,,,,,,,,,
Rav,names,Abba Arikha,21258,https://en.wikipedia.org/wiki/Abba_Arikha,https://he.wikipedia.org/wiki/%D7%A8%D7%91_(%D7%90%D7%9E%D7%95%D7%A8%D7%90),Abba Arikha,רב (אמורא),https://chavrutai.com/search?q=Rav&type=talmud,blog+en_langlink_he,Q305760,Aivu,Judah ha-Nasi; Hiyya the Great,Sura Academy,Rav Huna; Judah ben Ezekiel,160,Kafri,247,Sura
Abba bar Marta,names,Abba b. Martha,7,https://en.wikipedia.org/wiki/Abba_b._Martha,https://he.wikipedia.org/wiki/%D7%90%D7%91%D7%90_%D7%91%D7%A8_%D7%9E%D7%A8%D7%AA%D7%90,Abba b. Martha,אבא בר מרתא,https://chavrutai.com/search?q=Abba+bar+Marta&type=talmud,blog,Q4663670,,,,,,,,
Shmuel’s father,names,Abba bar Abba,52,https://en.wikipedia.org/wiki/Abba_bar_Abba,https://he.wikipedia.org/wiki/%D7%90%D7%91%D7%95%D7%94_%D7%93%D7%A9%D7%9E%D7%95%D7%90%D7%9C,Abba bar Abba,אבוה דשמואל,https://chavrutai.com/search?q=Shmuel%E2%80%99s+father&type=talmud,blog,Q305784,,,,,200,,300,
"Abba bar Abba, the father of Shmuel",names,,1,,,,,https://chavrutai.com/search?q=Abba+bar+Abba%2C+the+father+of+Shmuel&type=talmud,,,,,,,,,,
Abba bar Aḥa Karsala from Kafrei,names,,1,,,,,https://chavrutai.com/search?q=Abba+bar+A%E1%B8%A5a+Karsala+from+Kafrei&type=talmud,,,,,,,,,,
Abba bar Ḥama,names,,1,,,,,https://chavrutai.com/search?q=Abba+bar+%E1%B8%A4ama&type=talmud,,,,,,,,,,
Abba bar Ḥanan,names,,1,,,,,https://chavrutai.com/search?q=Abba+bar+%E1%B8%A4anan&type=talmud,,,,,,,,,,
Abba bar Manyomi,names,,1,,,,,https://chavrutai.com/search?q=Abba+bar+Manyomi&type=talmud,,,,,,,,,,
Abba bar Manyumi,names,,1,,,,,https://chavrutai.com/search?q=Abba+bar+Manyumi&type=talmud,,,,,,,,,,
Abba bar Minyomi,names,,1,,,,,https://chavrutai.com/search?q=Abba+bar+Minyomi&type=talmud,,,,,,,,,,
Abba bar Minyumi,names,,7,,,,,https://chavrutai.com/search?q=Abba+bar+Minyumi&type=talmud,,,,,,,,,,
Abba bar Rav Ḥisda,names,,1,,,,,https://chavrutai.com/search?q=Abba+bar+Rav+%E1%B8%A4isda&type=talmud,,,,,,,,,,
Abba Binyamin,names,,2,,,,,https://chavrutai.com/search?q=Abba+Binyamin&type=talmud,,,,,,,,,,
"Abba Bira’a, son of Rabbi Eliezer ben Ya’akov",names,,1,,,,,https://chavrutai.com/search?q=Abba+Bira%E2%80%99a%2C+son+of+Rabbi+Eliezer+ben+Ya%E2%80%99akov&type=talmud,,,,,,,,,,
Abba Elazar,names,,6,,,,,https://chavrutai.com/search?q=Abba+Elazar&type=talmud,,,,,,,,,,
Abba Elazar ben Gamla,names,,0,,,,,https://chavrutai.com/search?q=Abba+Elazar+ben+Gamla&type=talmud,,,,,,,,,,
Abba Elazar ben Gimmel,names,,2,,,,,https://chavrutai.com/search?q=Abba+Elazar+ben+Gimmel&type=talmud,,,,,,,,,,
Abba Elazar ben Gomel,names,,4,,,,,https://chavrutai.com/search?q=Abba+Elazar+ben+Gomel&type=talmud,,,,,,,,,,
Abba Gurya,names,,1,,,,,https://chavrutai.com/search?q=Abba+Gurya&type=talmud,,,,,,,,,,
Abba Guryan of Tzadyan,names,,1,,,,,https://chavrutai.com/search?q=Abba+Guryan+of+Tzadyan&type=talmud,,,,,,,,,,
Abba Ḥalafta,names,,6,,,,,https://chavrutai.com/search?q=Abba+%E1%B8%A4alafta&type=talmud,,,,,,,,,,
"Abba Ḥalafta, from the village of Ḥananya",names,,0,,,,,https://chavrutai.com/search?q=Abba+%E1%B8%A4alafta%2C+from+the+village+of+%E1%B8%A4ananya&type=talmud,,,,,,,,,,
Abba Ḥalifa,names,,1,,,,,https://chavrutai.com/search?q=Abba+%E1%B8%A4alifa&type=talmud,,,,,,,,,,
Abba Ḥalifa Karoya,names,,1,,,,,https://chavrutai.com/search?q=Abba+%E1%B8%A4alifa+Karoya&type=talmud,,,,,,,,,,
Abba Ḥanan,names,,9,,,,,https://chavrutai.com/search?q=Abba+%E1%B8%A4anan&type=talmud,,,,,,,,,,
Abba Ḥanin,names,,2,,,,,https://chavrutai.com/search?q=Abba+%E1%B8%A4anin&type=talmud,,,,,,,,,,
Abba Ḥilkiyyahu,names,Abba Hilkiah,1,https://en.wikipedia.org/wiki/Abba_Hilkiah,https://he.wikipedia.org/wiki/%D7%90%D7%91%D7%90_%D7%97%D7%9C%D7%A7%D7%99%D7%94,Abba Hilkiah,אבא חלקיה,https://chavrutai.com/search?q=Abba+%E1%B8%A4ilkiyyahu&type=talmud,blog,Q2695686,,,,,,Palestine,,
Abba Ḥilkiyya,names,,2,,,,,https://chavrutai.com/search?q=Abba+%E1%B8%A4ilkiyya&type=talmud,,,,,,,,,,
Abba Kohen Bardela,names,,0,https://en.wikipedia.org/wiki/Abba_Kohen_Bardela,https://he.wikipedia.org/wiki/%D7%90%D7%91%D7%90_%D7%9B%D7%94%D7%9F_%D7%91%D7%A8%D7%93%D7%9C%D7%90,Abba Kohen Bardela,אבא כהן ברדלא,https://chavrutai.com/search?q=Abba+Kohen+Bardela&type=talmud,wikidata_seed_qid,Q4663647,,,,,200,,,
Abba Mar,names,,6,,,,,https://chavrutai.com/search?q=Abba+Mar&type=talmud,,,,,,,,,,
Abba Mar bar Rav Ashi,names,,1,,,,,https://chavrutai.com/search?q=Abba+Mar+bar+Rav+Ashi&type=talmud,,,,,,,,,,
"Abba Mar, son of Rav Pappa",names,,1,,,,,https://chavrutai.com/search?q=Abba+Mar%2C+son+of+Rav+Pappa&type=talmud,,,,,,,,,,
"Abba Mari, the Exilarch",names,,1,,,,,https://chavrutai.com/search?q=Abba+Mari%2C+the+Exilarch&type=talmud,,,,,,,,,,
Abba Sala the Great,names,,0,,,,,https://chavrutai.com/search?q=Abba+Sala+the+Great&type=talmud,,,,,,,,,,
Abba Shaul,names,Abba Saul,150,https://en.wikipedia.org/wiki/Abba_Saul,https://he.wikipedia.org/wiki/%D7%90%D7%91%D7%90_%D7%A9%D7%90%D7%95%D7%9C,Abba Saul,אבא שאול,https://chavrutai.com/search?q=Abba+Shaul&type=talmud,blog,Q2763097,,,,,101,Jerusalem,,
Abba Shaul bar Nash,names,,1,,,,,https://chavrutai.com/search?q=Abba+Shaul+bar+Nash&type=talmud,,,,,,,,,,
Abba Shaul bar Remash,names,,1,,,,,https://chavrutai.com/search?q=Abba+Shaul+bar+Remash&type=talmud,,,,,,,,,,
Abba Shaul ben Batnit,names,,0,,,,,https://chavrutai.com/search?q=Abba+Shaul+ben+Batnit&type=talmud,,,,,,,,,,
Abba Shaul ben Botnit,names,,4,,,,,https://chavrutai.com/search?q=Abba+Shaul+ben+Botnit&type=talmud,,,,,,,,,,
Abba Shaul ben Imma Miriam,names,,3,,,,,https://chavrutai.com/search?q=Abba+Shaul+ben+Imma+Miriam&type=talmud,,,,,,,,,,
Abba Sikkara,names,,0,,,,,https://chavrutai.com/search?q=Abba+Sikkara&type=talmud,,,,,,,,,,
Abba Sura,names,,0,,,,,https://chavrutai.com/search?q=Abba+Sura&type=talmud,,,,,,,,,,
Abba Sura’s daughter,names,,1,,,,,https://chavrutai.com/search?q=Abba+Sura%E2%80%99s+daughter&type=talmud,,,,,,,,,,
Abba the Bloodletter,names,,3,,,,,https://chavrutai.com/search?q=Abba+the+Bloodletter&type=talmud,,,,,,,,,,
Abba the tall,names,,3,,,,,https://chavrutai.com/search?q=Abba+the+tall&type=talmud,,,,,,,,,,
Abba Yosef ben Dostai,names,,1,,,,,https://chavrutai.com/search?q=Abba+Yosef+ben+Dostai&type=talmud,,,,,,,,,,
Abba Yosef ben Ḥanin,names,,0,,,,,https://chavrutai.com/search?q=Abba+Yosef+ben+%E1%B8%A4anin&type=talmud,,,,,,,,,,
Abba Yosei,names,,13,,,,,https://chavrutai.com/search?q=Abba+Yosei&type=talmud,,,,,,,,,,
Abba Yosei bar Abba,names,,1,,,,,https://chavrutai.com/search?q=Abba+Yosei+bar+Abba&type=talmud,,,,,,,,,,
Abba Yosei ben Dosai,names,,2,,,,,https://chavrutai.com/search?q=Abba+Yosei+ben+Dosai&type=talmud,,,,,,,,,,
Abba Yosei ben Dostai,names,,4,,,,,https://chavrutai.com/search?q=Abba+Yosei+ben+Dostai&type=talmud,,,,,,,,,,
Abba Yosei ben Ḥanan,names,,3,,,,,https://chavrutai.com/search?q=Abba+Yosei+ben+%E1%B8%A4anan&type=talmud,,,,,,,,,,
Abba Yosei ben Katonta,names,,2,,,,,https://chavrutai.com/search?q=Abba+Yosei+ben+Katonta&type=talmud,,,,,,,,,,
Abba Yosei ben Simai,names,,0,,,,,https://chavrutai.com/search?q=Abba+Yosei+ben+Simai&type=talmud,,,,,,,,,,
Abba Yosei ben Yoḥanan,names,,0,,,,,https://chavrutai.com/search?q=Abba+Yosei+ben+Yo%E1%B8%A5anan&type=talmud,,,,,,,,,,
Abba Yudan of Sidon,names,,1,,,,,https://chavrutai.com/search?q=Abba+Yudan+of+Sidon&type=talmud,,,,,,,,,,
"Abba, father of Rabbi Yirmeya bar Abba",names,,0,,,,,https://chavrutai.com/search?q=Abba%2C+father+of+Rabbi+Yirmeya+bar+Abba&type=talmud,,,,,,,,,,
"Abba, son of Rabbi Binyamin bar Ḥiyya",names,,1,,,,,https://chavrutai.com/search?q=Abba%2C+son+of+Rabbi+Binyamin+bar+%E1%B8%A4iyya&type=talmud,,,,,,,,,,
"Abba, son of Rabbi Ḥiyya bar Abba",names,,16,,,,,https://chavrutai.com/search?q=Abba%2C+son+of+Rabbi+%E1%B8%A4iyya+bar+Abba&type=talmud,,,,,,,,,,
"Abba, son of Rav Binyamin bar Ḥiyya",names,,1,,,,,https://chavrutai.com/search?q=Abba%2C+son+of+Rav+Binyamin+bar+%E1%B8%A4iyya&type=talmud,,,,,,,,,,
"Abba, son of Rav Minyamin bar Ḥiyya",names,,3,,,,,https://chavrutai.com/search?q=Abba%2C+son+of+Rav+Minyamin+bar+%E1%B8%A4iyya&type=talmud,,,,,,,,,,
"Abba, son of Rav Minyumi, son of Ḥiyya",names,,1,,,,,https://chavrutai.com/search?q=Abba%2C+son+of+Rav+Minyumi%2C+son+of+%E1%B8%A4iyya&type=talmud,,,,,,,,,,
"Abba, the father of Rabbi Simlai",names,,2,,,,,https://chavrutai.com/search?q=Abba%2C+the+father+of+Rabbi+Simlai&type=talmud,,,,,,,,,,
Abbudina,names,,1,,,,,https://chavrutai.com/search?q=Abbudina&type=talmud,,,,,,,,,,
Abdon,names,,5,,,,,https://chavrutai.com/search?q=Abdon&type=talmud,,,,,,,,,,
Abei Givar,talmudToponyms,,1,,,,,https://chavrutai.com/search?q=Abei+Givar&type=talmud,,,,,,,,,,
Abel,biblicalNames,,3,https://en.wikipedia.org/wiki/Abel,https://he.wikipedia.org/wiki/%D7%94%D7%91%D7%9C,Abel,הבל,https://chavrutai.com/search?q=Abel&type=talmud,biblical_names_api_review:verified_exact_or_redirect,Q313421,Adam,,,,-3897,,-3825,
Abiathar,biblicalNames,,3,https://en.wikipedia.org/wiki/Abiathar,https://he.wikipedia.org/wiki/%D7%90%D7%91%D7%99%D7%AA%D7%A8,Abiathar,אביתר,https://chavrutai.com/search?q=Abiathar&type=talmud,biblical_names_api_review:verified_exact_or_redirect,Q321804,Ahimelech,,,,-1000,,-900,
Abigail,biblicalNames,,6,https://en.wikipedia.org/wiki/Abigail,https://he.wikipedia.org/wiki/%D7%90%D7%91%D7%99%D7%92%D7%99%D7%9C,Abigail,אביגיל,https://chavrutai.com/search?q=Abigail&type=talmud,biblical_names_api_review:verified_exact_or_redirect,Q4416778,,,,,-1100,,-1000,
"Abijah, son of Jeroboam",biblicalNames,,1,https://en.wikipedia.org/wiki/Abijah,https://he.wikipedia.org/wiki/%D7%90%D7%91%D7%99%D7%94,Abijah,אביה,https://chavrutai.com/search?q=Abijah%2C+son+of+Jeroboam&type=talmud,biblical_names_api_review:no_exact_page; enwiki_api_exact,Q321187,,,,,,,,
Shittim,talmudToponyms,Abila (Peraea),3,https://en.wikipedia.org/wiki/Abila_(Peraea),https://he.wikipedia.org/wiki/%D7%90%D7%91%D7%9C_%D7%94%D7%A9%D7%99%D7%98%D7%99%D7%9D,Abila (Peraea),אבל השיטים,https://chavrutai.com/search?q=Shittim&type=talmud,blog,Q2236536,,,,,,,,
Abimelech,biblicalNames,,5,https://en.wikipedia.org/wiki/Abimelech,https://he.wikipedia.org/wiki/%D7%90%D7%91%D7%99%D7%9E%D7%9C%D7%9A_%D7%9E%D7%9C%D7%9A_%D7%92%D7%A8%D7%A8,Abimelech,אבימלך מלך גרר,https://chavrutai.com/search?q=Abimelech&type=talmud,biblical_names_api_review:verified_exact_or_redirect,Q1343803,,,,,,,,
Abiram,biblicalNames,,5,https://en.wikipedia.org/wiki/Abiram,,Abiram,,https://chavrutai.com/search?q=Abiram&type=talmud,biblical_names_api_review:verified_exact_or_redirect,Q106827501,,,,,,,,
Abishag,biblicalNames,,2,https://en.wikipedia.org/wiki/Abishag,https://he.wikipedia.org/wiki/%D7%90%D7%91%D7%99%D7%A9%D7%92_%D7%94%D7%A9%D7%95%D7%A0%D7%9E%D7%99%D7%AA,Abishag,אבישג השונמית,https://chavrutai.com/search?q=Abishag&type=talmud,biblical_names_api_review:verified_exact_or_redirect,Q321469,,,,,,Shunem,,
Abishai,biblicalNames,,3,,,,,https://chavrutai.com/search?q=Abishai&type=talmud,biblical_names_api_review:disambiguation_only,,,,,,,,,
Abishai ben Zeruiah,biblicalNames,,1,,,Abishai ben Zeruiah,,https://chavrutai.com/search?q=Abishai+ben+Zeruiah&type=talmud,biblical_names_api_review:no_exact_page,,,,,,,,,
"Abishai, son of Zeruiah",biblicalNames,,2,,,,,https://chavrutai.com/search?q=Abishai%2C+son+of+Zeruiah&type=talmud,biblical_names_api_review:no_exact_page,,,,,,,,,
Ablat,names,,1,,,,,https://chavrutai.com/search?q=Ablat&type=talmud,,,,,,,,,,
Ablet,names,,1,,,,,https://chavrutai.com/search?q=Ablet&type=talmud,,,,,,,,,,
Abner,biblicalNames,Abner ben Ner,6,https://en.wikipedia.org/wiki/Abner,https://he.wikipedia.org/wiki/%D7%90%D7%91%D7%A0%D7%A8_%D7%91%D7%9F_%D7%A0%D7%A8,Abner,אבנר בן נר,https://chavrutai.com/search?q=Abner&type=talmud,biblical_names_api_review:verified_exact_or_redirect,Q1133337,Ner,,,,,,,
Abraham,biblicalNames,,190,https://en.wikipedia.org/wiki/Abraham,https://he.wikipedia.org/wiki/%D7%90%D7%91%D7%A8%D7%94%D7%9D,Abraham,אברהם,https://chavrutai.com/search?q=Abraham&type=talmud,biblical_names_api_review:verified_exact_or_redirect,Q9181,Terah,,,,-1813,Ur Kaśdim,-1638,Hebron
